age_group,sex,country,year,count_in,count_out
TOTAL,F,AT,1996,32883,27782.0
TOTAL,F,AT,1997,32392,29220.0
TOTAL,F,AT,1998,33793,27736.0
TOTAL,F,AT,1999,41346,29750.0
TOTAL,F,AT,2000,38157,28755.0
TOTAL,F,AT,2001,40892,31277.0
TOTAL,F,AT,2002,47998,32174.0
TOTAL,F,AT,2003,51045,28825.0
TOTAL,F,AT,2004,55240,29233.0
TOTAL,F,AT,2005,51192,28761.0
TOTAL,F,AT,2006,44237,30451.0
TOTAL,F,AT,2007,35106,21264.0
TOTAL,F,AT,2008,35800,22194.0
TOTAL,F,AT,2009,33019,22864.0
TOTAL,F,AT,2010,33863,22170.0
TOTAL,F,AT,2011,38007,22085.0
TOTAL,F,AT,2012,42524,22287.0
TOTAL,F,AT,2013,47432,23623.0
TOTAL,F,AT,2014,52494,23360.0
TOTAL,F,AT,2015,69345,24746.0
TOTAL,F,AT,2016,59191,28284.0
TOTAL,F,AT,2017,52863,28364.0
TOTAL,F,AT,2018,49456,28381.0
TOTAL,F,AT,2019,50613,28842.0
TOTAL,M,AT,1996,37047,38268.0
TOTAL,M,AT,1997,37730,39365.0
TOTAL,M,AT,1998,38930,36536.0
TOTAL,M,AT,1999,45364,37173.0
TOTAL,M,AT,2000,43519,35717.0
TOTAL,M,AT,2001,49036,41377.0
TOTAL,M,AT,2002,60127,42657.0
TOTAL,M,AT,2003,60824,43171.0
TOTAL,M,AT,2004,67307,42488.0
TOTAL,M,AT,2005,63273,41372.0
TOTAL,M,AT,2006,54298,43981.0
TOTAL,M,AT,2007,37756,28634.0
TOTAL,M,AT,2008,37972,29369.0
TOTAL,M,AT,2009,36276,30380.0
TOTAL,M,AT,2010,37115,29481.0
TOTAL,M,AT,2011,44223,29112.0
TOTAL,M,AT,2012,49033,29525.0
TOTAL,M,AT,2013,54434,30448.0
TOTAL,M,AT,2014,63768,30131.0
TOTAL,M,AT,2015,96978,31943.0
TOTAL,M,AT,2016,70318,36144.0
TOTAL,M,AT,2017,58938,37780.0
TOTAL,M,AT,2018,56177,38831.0
TOTAL,M,AT,2019,58554,39438.0
TOTAL,F,BE,1990,29563,16059.0
TOTAL,F,BE,1991,31406,16701.0
TOTAL,F,BE,1992,31583,16493.0
TOTAL,F,BE,1993,30297,20590.0
TOTAL,F,BE,1994,32834,17823.0
TOTAL,F,BE,1995,31610,17724.0
TOTAL,F,BE,1996,30882,18172.0
TOTAL,F,BE,1997,29363,19270.0
TOTAL,F,BE,1998,38156,31177.0
TOTAL,F,BE,1999,41928,31706.0
TOTAL,F,BE,2000,40944,32369.0
TOTAL,F,BE,2001,49841,31948.0
TOTAL,F,BE,2002,51673,32356.0
TOTAL,F,BE,2003,52075,33568.0
TOTAL,F,BE,2004,54549,35451.0
TOTAL,F,BE,2005,61257,36085.0
TOTAL,F,BE,2006,62400,36806.0
TOTAL,F,BE,2007,65674,37662.0
TOTAL,F,BE,2010,64372,28989.0
TOTAL,F,BE,2011,68912,35213.0
TOTAL,F,BE,2012,60747,39302.0
TOTAL,F,BE,2013,57203,42557.0
TOTAL,F,BE,2014,57681,40814.0
TOTAL,F,BE,2015,63217,38673.0
TOTAL,F,BE,2016,57056,39873.0
TOTAL,F,BE,2017,58613,39331.0
TOTAL,F,BE,2018,63164,38464.0
TOTAL,F,BE,2019,67947,41839.0
TOTAL,M,BE,1990,33099,16443.0
TOTAL,M,BE,1991,36054,17051.0
TOTAL,M,BE,1992,35180,17214.0
TOTAL,M,BE,1993,33452,24221.0
TOTAL,M,BE,1994,33313,18707.0
TOTAL,M,BE,1995,31340,18320.0
TOTAL,M,BE,1996,30640,18502.0
TOTAL,M,BE,1997,29486,20050.0
TOTAL,M,BE,1998,45656,40910.0
TOTAL,M,BE,1999,49696,42391.0
TOTAL,M,BE,2000,48444,42951.0
TOTAL,M,BE,2001,60569,43313.0
TOTAL,M,BE,2002,62184,43604.0
TOTAL,M,BE,2003,59985,45831.0
TOTAL,M,BE,2004,62687,48444.0
TOTAL,M,BE,2005,71553,50816.0
TOTAL,M,BE,2006,75299,51357.0
TOTAL,M,BE,2007,80735,53390.0
TOTAL,M,BE,2010,70909,37024.0
TOTAL,M,BE,2011,78465,48935.0
TOTAL,M,BE,2012,68730,54298.0
TOTAL,M,BE,2013,62875,60100.0
TOTAL,M,BE,2014,65477,53759.0
TOTAL,M,BE,2015,83409,51121.0
TOTAL,M,BE,2016,66646,52598.0
TOTAL,M,BE,2017,68090,50359.0
TOTAL,M,BE,2018,74696,50471.0
TOTAL,M,BE,2019,82059,61097.0
TOTAL,F,BG,2007,684,1839.0
TOTAL,F,BG,2012,5921,7779.0
TOTAL,F,BG,2013,8074,9837.0
TOTAL,F,BG,2014,11903,12980.0
TOTAL,F,BG,2015,11730,14110.0
TOTAL,F,BG,2016,10300,15177.0
TOTAL,F,BG,2017,13126,15540.0
TOTAL,F,BG,2018,14973,16154.0
TOTAL,F,BG,2019,18840,19400.0
TOTAL,M,BG,2007,877,1119.0
TOTAL,M,BG,2012,8182,8836.0
TOTAL,M,BG,2013,10496,9841.0
TOTAL,M,BG,2014,14712,15747.0
TOTAL,M,BG,2015,13493,15360.0
TOTAL,M,BG,2016,10941,15393.0
TOTAL,M,BG,2017,12471,16046.0
TOTAL,M,BG,2018,14586,17071.0
TOTAL,M,BG,2019,19089,20541.0
TOTAL,F,CH,1990,72508,46218.0
TOTAL,F,CH,1991,77819,48728.0
TOTAL,F,CH,1992,75641,54906.0
TOTAL,F,CH,1993,71620,50693.0
TOTAL,F,CH,1994,64892,47994.0
TOTAL,F,CH,1995,58066,47906.0
TOTAL,F,CH,1996,48649,49431.0
TOTAL,F,CH,1997,46220,47429.0
TOTAL,F,CH,1998,47858,45438.0
TOTAL,F,CH,1999,53754,43509.0
TOTAL,F,CH,2000,54772,42934.0
TOTAL,F,CH,2001,60938,39021.0
TOTAL,F,CH,2002,62811,37544.0
TOTAL,F,CH,2003,59095,36707.0
TOTAL,F,CH,2004,58292,37965.0
TOTAL,F,CH,2005,56293,38901.0
TOTAL,F,CH,2006,60043,40911.0
TOTAL,F,CH,2007,75202,41682.0
TOTAL,F,CH,2008,84471,39682.0
TOTAL,F,CH,2009,76124,39533.0
TOTAL,F,CH,2010,76513,44888.0
TOTAL,F,CH,2011,70755,43795.0
TOTAL,F,CH,2012,70586,46787.0
TOTAL,F,CH,2013,76841,47820.0
TOTAL,F,CH,2014,75173,49970.0
TOTAL,F,CH,2015,73714,52587.0
TOTAL,F,CH,2016,71356,54654.0
TOTAL,F,CH,2017,68334,56180.0
TOTAL,F,CH,2018,68991,58235.0
TOTAL,F,CH,2019,68757,56575.0
TOTAL,M,CH,1990,81736,51383.0
TOTAL,M,CH,1991,86954,54605.0
TOTAL,M,CH,1992,81549,62128.0
TOTAL,M,CH,1993,72917,54332.0
TOTAL,M,CH,1994,65296,51311.0
TOTAL,M,CH,1995,55901,51603.0
TOTAL,M,CH,1996,48942,53967.0
TOTAL,M,CH,1997,45467,51092.0
TOTAL,M,CH,1998,48097,49340.0
TOTAL,M,CH,1999,54199,48295.0
TOTAL,M,CH,2000,55530,47144.0
TOTAL,M,CH,2001,63139,43213.0
TOTAL,M,CH,2002,64529,40875.0
TOTAL,M,CH,2003,60688,40049.0
TOTAL,M,CH,2004,61896,41761.0
TOTAL,M,CH,2005,61977,43189.0
TOTAL,M,CH,2006,67543,47307.0
TOTAL,M,CH,2007,90432,48493.0
TOTAL,M,CH,2008,99826,46448.0
TOTAL,M,CH,2009,84499,46503.0
TOTAL,M,CH,2010,85265,51951.0
TOTAL,M,CH,2011,78044,52699.0
TOTAL,M,CH,2012,78465,57094.0
TOTAL,M,CH,2013,83316,58376.0
TOTAL,M,CH,2014,81109,61133.0
TOTAL,M,CH,2015,79913,64044.0
TOTAL,M,CH,2016,77949,65999.0
TOTAL,M,CH,2017,75043,68817.0
TOTAL,M,CH,2018,75866,71990.0
TOTAL,M,CH,2019,76372,69646.0
TOTAL,F,CY,2009,13026,2797.0
TOTAL,F,CY,2010,11494,2472.0
TOTAL,F,CY,2011,12707,2737.0
TOTAL,F,CY,2012,11681,12032.0
TOTAL,F,CY,2013,6675,13317.0
TOTAL,F,CY,2014,6448,13533.0
TOTAL,F,CY,2015,8688,9788.0
TOTAL,F,CY,2016,8829,8340.0
TOTAL,F,CY,2017,11316,8353.0
TOTAL,F,CY,2018,12209,8692.0
TOTAL,F,CY,2019,13936,10222.0
TOTAL,M,CY,2009,9555,2000.0
TOTAL,M,CY,2010,8712,1821.0
TOTAL,M,CY,2011,10330,2158.0
TOTAL,M,CY,2012,5795,6073.0
TOTAL,M,CY,2013,6474,11910.0
TOTAL,M,CY,2014,2764,10505.0
TOTAL,M,CY,2015,6495,7395.0
TOTAL,M,CY,2016,8562,6552.0
TOTAL,M,CY,2017,9990,6752.0
TOTAL,M,CY,2018,11233,6648.0
TOTAL,M,CY,2019,12234,7151.0
TOTAL,F,CZ,2001,5597,6930.0
TOTAL,F,CZ,2002,17038,10133.0
TOTAL,F,CZ,2003,20458,10452.0
TOTAL,F,CZ,2004,19068,10534.0
TOTAL,F,CZ,2005,22394,9519.0
TOTAL,F,CZ,2006,26198,13108.0
